P001;1.00000;Corralillo de San Miguel;39.858966;-4.020902
P002;5.00000;Alferez Provisional, 1
P003;18.00000;Alfonso VI (Fuente);39.862777;-4.025937
P271;23.00000;Avda La Cava (Rtda Alfonso VI);39.862296;-4.027872
P272;29.00000;Ctra Navalpino (Puente);39.858603;-4.037639
P273;33.00000;Ctra Navalpino (Olivilla);39.860072;-4.041773
P274;40.00000;Ctra Navalpino (Camping);39.861640;-4.046879
P338;49.00000;Montesion - Rotonda;39.862845;-4.058866
P001;105.00000;Corralillo de San Miguel;39.858966;-4.020902
P029;100.00000;Zocodover (Cuesta Carlos V);39.858830;-4.021161
P028;89.00000;Puerta Bisagra Interior;39.862120;-4.025389
P289;82.00000;Avda La Cava (Rtda. Alfonso VI);39.862450;-4.028119
P275;69.00000;Ctra Navalpino (Olivilla);39.860086;-4.041298
P341;60.00000;Ctra Navalpino (Fte Camping);39.862050;-4.046817
P340;57.00000;Airen 2;39.862400;-4.052371
P339;54.00000;Airen 1
