P431;1.00000;Remonte SAFONT
P211;13.00000;Rda. de Granadal (Est. Autobuses);39.863763;-4.020841
P003;21.00000;Alfonso VI (Fuente);39.862777;-4.025937
P432;26.00000;Avda Carlos III -Parque Escolar
400;27.00000;AV.CARLOS III (Aparcamiento)
P072;38.00000;San Pedro el Verde (Universidad)
P431;68.00000;Remonte SAFONT
P217;62.00000;Carrera (Fte muralla);39.863573;-4.022275
317;57.00000;Bar El Clavel;39.862583;-4.024851
P337;48.00000;Avda Carlos III (Venta de Aires)
P336;46.00000;Avda Carlos III (Aparcamiento)
