idl;ido
P128;1.00000
P129;5.00000
P130;6.00000
P131;7.00000
P132;8.00000
P133;9.00000
P134;10.00000
P135;11.00000
P322;15.00000
P323;17.00000
323b;19.00000
321b;26.00000
P324;34.00000
P178;39.00000
P140;44.00000
P117;58.00000
P118;60.00000
P119;61.00000
P120;64.00000
P121;71.00000
P122;94.00000
P034;100.00000
P153;102.00000
P035;105.00000
P036;106.00000
P037;110.00000
P038;111.00000
P018;116.00000
P019;117.00000
P020;124.00000
P021;126.00000
P022;131.00000
P128;264.00000
P234;258.00000
P233;257.00000
P232;256.00000
P345;255.00000
P225;253.00000
P224;251.00000
P223;248.00000
P344;243.00000
P343;239.00000
P343a;237.00000
321;228.00000
315;224.00000
P116;204.00000
P115;201.00000
P114;196.00000
P113;194.00000
P112;192.00000
P111;187.00000
P110;183.00000
P109;169.00000
P108;162.00000
P107;153.00000
P053;149.00000
P052;147.00000
P165;145.00000
P024;136.00000
P023;134.00000
