P144;Plaza de Santa Barbara;39.860186;-4.005392
P145;Purisima Concepcion;39.860829;-4.003812
P153;General Villalba 3;39.868682;-4.024785
P165;General Villalba (Escuela);39.867877;-4.026436
P178;Arroyomolinos (Gasolinera);39.865121;-3.970201
P179;Jarama (Campsa);;
P180;Jarama (Unauto);;
P181;;;
P182;Jarama (Janssen);;
P183;Jarama (conf Guadarrama);39.872909;-3.949305
P184;Jarama (ITV);;
P185;;;
P186;Jarama (Trinaranjus);;
P194;Guadarrama (Alcaceres);;
P197;Fresnedoso (Ciudad Toledo);;
P197a;Fresnedoso Fte Kiosko Pepe;;
P211;Rda. de Granadal (Est. Autobuses);39.863763;-4.020841
P217;Carrera (Fte muralla);39.863573;-4.022275
P220;Paseo de la Rosa (San Marcos);;
P221;Paseo de la Rosa (Estrella);;
P222;;;
P223;Rio Alberche 6;39.863724;-3.955195
P224;Rio Alberche 26;39.864908;-3.951970
P225;Rio Alberche (Edificio Correos);39.865909;-3.949385
P230;Guadarrama (Banesto);39.863374;-3.943278
P231;;39.866641;-3.945042
P232;Rio Alberche (Caja Madrid);;
P233;Rio Alberche (Fte Monjas);;
P234;Rio Alberche (Centro Cultural);;
P251;;39.859412;-4.032533
P252;Puente San Martin;39.857715;-4.033573
P253;Reyes Catolicos;39.857588;-4.031025
P254;;39.856448;-4.030335
P255;Pza del Conde (Palacio Fuensalida);39.856182;-4.028232
P256;Plaza Barrio Nuevo;39.856448;-4.030335
P257;;39.857588;-4.031025
P258;;39.859050;-4.031963
P259;Paseo de Recaredo (Rotonda);39.862159;-4.0276796
P271;Avda La Cava (Rtda Alfonso VI);39.862296;-4.027872
P272;Ctra Navalpino (Puente);39.858603;-4.037639
P273;Ctra Navalpino (Olivilla);39.860072;-4.041773
P274;Ctra Navalpino (Camping);39.861640;-4.046879
P275;Ctra Navalpino (Olivilla);39.860086;-4.041298
P276;Ctra Navalpino (Fuente);;
P277;Ctra Circunvalacion (La Rama);;
P278;Ctra Circunvalacion (Cruce);;
P279;Ctra Circunvalacion (H.Cigarrales);;
P280;;;
P281;Ctra Circunvalacion (Hosp. Valle);;
P283;Ctra Circunvalacion (Mirador);;
P284;Ctra Circunvalacion (H.Cigarrales);;
P285;Ctra Circun. (H. Ciudad Toledo);;
P286;Ctra Circunvalacion (La Rama);;
P287;;;
P288;Ctra Navalpino (Puente Nuevo);;
P289;Avda La Cava (Rtda. Alfonso VI);39.862450;-4.028119
P303;Academia Infanteria;;
P304;Hospital Provincial;;
P308;;39.873543;-4.006711
P309;;39.878628;-3.987053
P310;;39.879607;-3.983639
P311;;39.884492;-3.974548
P311b;C/ Huerta;;
P311c;C/ Huerta;;
P312;Azucaica (Plaza);;
P312b;C/ Azucena;;
P312c;C/ Azucena;;
P313;;;
P320;Frente Convento;;
P322;Avda Boladiez (Res. Ancianos);;
P323;Avda Boladiez (Television);39.861961;-3.956369
P324;Via Tarpeya (Rotonda);39.860809;-3.968794
P326;Cabrahigos, 9 (Fte tercera Edad);39.860832;-4.010707
P327;CabraHigos (Colegio Angel Alcazar);39.859477;-4.008764
P329;Avda Irlanda, Farmacia;;
P330;Ctra Avila (Rtda Fte El Chuletero);39.879413;-4.047279
P331;Hospital Tres Culturas;39.884179;-4.041106
P332;Hospital Tres Culturas (vta);39.884179;-4.041106
P333;La Legua;;
P334;Vda Mas del Ribero - Rotonda;;
P335;Avda Carlos III (Aparcamiento);;
P336;Avda Carlos III (Aparcamiento);;
P337;Avda Carlos III (Venta de Aires);;
P338;Montesion - Rotonda;39.862845;-4.058866
P339;Airen 1;;
P340;Airen 2;39.862400;-4.052371
P341;Ctra Navalpino (Fte Camping);39.862050;-4.046817
P342;C/ Guadarrama Fte. Casa La Carne;39.869967;-3.946899
P343;Avda Boladiez (Fte Television);39.861752;-3.956237
P343a;SESCAM;39.860301;-3.963263
P344;Avda Boladiez (Fte. Res. Ancianos);;
P345;Rio Alberche (Biblioteca);39.866662;-3.947350
P346;Fresnedoso, 12;;
P350;La Legua II;;
P351;Montesion;;
P356;Olivar;;
P358;Rotonda  IV;;
P359;Convento;39.881565;-4.027802
P360;Plaza  Holanda;39.879323;-4.030383
P361;General Villalba - pabellones;39.867862;-4.027081
P370;Rio Cabriel (Fte E. Hosteleria);;
P371;Rio Cabriel  (Archivo);;
P372;Tras Consejeria Industria;;
P373;Tras Consejeria Industria;;
P374;Rio Cabriel (Archivo);;
P375;Rio Cabriel (Fte E. Hosteleria);;
P376;Rio Mesa;;
P377;Rio Mesa (con Casacajoso);;
P378;C/ Cascajoso con Boladiez;;
P379;Rio Boladiez (Fte. colegio);;
P380;Rio Boladiez (colegio);;
P381;C/ Cascajoso (Estadio);;
P382;Rio Mesa (con Cascajoso);;
P383;Rio Mesa;;
P384;Fresnedoso 12;;
P385;Rio Alberche (cabecera);;
P386;Via Servicio (Fase III);;
P387;Molino de Viento (UNAUTO);;
P388;Jarama (Grupo Prolux);;
P389;Jarama (Galvanizados);;
P390;Fresnedoso (Kiosko Pepe);39.862283;-3.947177
P393;Rotonda Mercadona;;
P394;Guadarrama - Rtda Alcaceres;;
P395;Fte Edificio Hierbabuena;;
P396;Edificio Hierbabuena;;
P444;;;
P445;Hotel Beatriz;39.878806;-4.040717
